Modelo,accuracy,f1_macro,f1_weighted,cohen_kappa,f1_W,f1_N1,f1_N2,f1_N3,f1_REM,train_loss
Random Forest,0.40274117026884554,0.26448511682322845,0.3686998618407997,0.17690344579850636,0.45881552076242343,0.024096385542168676,0.4486322188449848,0.11428571428571428,0.2765957446808511,
LightGBM,0.6721138639957828,0.552454156201908,0.7087896672776876,0.5423753135680123,0.7867902665121669,0.08737864077669903,0.7933333333333333,0.7112068965517241,0.3835616438356164,
TinySleepNet (CNN+BiLSTM),0.5023721665788087,0.13375438596491226,0.33597240333305584,0.0,0.6687719298245614,0.0,0.0,0.0,0.0,1.023033371743034
