Modelo,Versión,Iteración,accuracy,f1_macro,cohen_kappa,f1_W,f1_N1,f1_N2,f1_N3,f1_REM
Random Forest,v1 (Baseline),Entrega 2,0.647337901950448,0.5548144112394959,0.5200370781060667,0.7534827377347062,0.06564551422319474,0.8080808080808081,0.6454545454545455,0.5014084507042254
Random Forest,v2 (Tuned),Entrega 3,0.6172904586188719,0.5023546418185052,0.47177541532010936,0.7389993972272453,0.064343163538874,0.7042801556420234,0.49238578680203043,0.5117647058823529
LightGBM,v1 (Baseline),Entrega 2,0.6721138639957828,0.552454156201908,0.5423753135680123,0.7867902665121669,0.08737864077669903,0.7933333333333333,0.7112068965517241,0.3835616438356164
LightGBM,v2 (Champion),Entrega 3,0.6620980495519241,0.53827352615535,0.5316446286403186,0.7837360047142016,0.07582938388625593,0.7672413793103449,0.7372881355932204,0.32727272727272727
TinySleepNet (CNN+BiLSTM),v1 (Baseline),Entrega 2/3,0.5024,0.1338,0.0,0.6688,0.0,0.0,0.0,0.0
